Variable,Control,Psoriasis,P-value,N_Control,N_Psoriasis
Age (years),51.5 ± 15.0,55.2 ± 14.8,<0.001,265475,3131
Male,49.6%,55.6%,<0.001,131762,1741
Female,50.4%,44.4%,<0.001,133713,1390
Insurance level,11.2 ± 6.0,11.3 ± 6.3,0.546,265475,3131
Metropolitan area,72.5%,71.2%,0.265,192525,2230
Others,27.5%,28.8%,0.265,72950,901
Body mass index,24.5 ± 3.7,24.7 ± 3.5,<0.001,265475,3131
Never,66.9%,60.1%,<0.001,177503,1882
Former,18.2%,22.9%,<0.001,48415,716
Current,14.9%,17.0%,<0.001,39557,533
Asthma,6.5%,11.1%,<0.001,17150,347
Cardiovascular disease,5.8%,9.3%,<0.001,15283,292
Chronic kidney disease,1.1%,2.0%,<0.001,2856,64
COPD,4.9%,8.1%,<0.001,13128,253
Cerebrovascular disease,2.6%,4.8%,<0.001,6826,150
Diabetes mellitus,19.0%,27.2%,<0.001,50382,851
Hypertension,28.2%,37.7%,<0.001,74842,1179
0,50.1%,37.8%,<0.001,133070,1183
1,22.0%,21.3%,<0.001,58380,667
≥2,27.9%,40.9%,<0.001,74025,1281
Non-peak,12.5%,11.5%,0.014,33064,361
Peak,87.5%,88.5%,0.014,232411,2770
Unvaccinated,45.2%,40.1%,<0.001,119883,1255
Full vaccinated,48.1%,51.5%,<0.001,127611,1613
Booster shot vaccinated,6.8%,8.4%,<0.001,17981,263
Mean follow-up (days),43.4 ± 20.8,41.9 ± 21.2,<0.001,265475,3131
Occurrence of the severe outcome,1.7%,2.8%,<0.001,4413,89
