Use of complementary medicine in Swiss pediatric IBD patients

Therapy category,Therapy,Currently,N,Previously,N
Manual therapies,Osteopathy,0,14,,
Manual therapies,Massage,6,11,,
Manual therapies,Reflexology,1,4,,
Manual therapies,Chiropractor,1,1,,
Manual therapies,Shiatsu,0,1,,
Energy-based therapies,Homeopathy,1,21,,
Energy-based therapies,Bach flowers,1,7,,
Energy-based therapies,Spagyrika,2,6,,
Energy-based therapies,Bioresonance,0,7,,
Traditional medicine,TCM,1,6,,
Traditional medicine,Ayurvedic medicine,0,1,,
Other categories,Naturopathy,5,15,,
Other categories,Kinesiology,3,8,,
Other categories,Acupuncture,0,8,,
Mental therapies,Psychotherapy,8,13,,
Mental therapies,Hypnosis,1,7,,
Mental therapies,Meditation,0,8,,
Mental therapies,Cognitive behaviour therapy,1,0,,
Mental therapies,Autogenic training,1,0,,
Mental therapies,Mindfulness,0,1,,
Mental therapies,Yoga,0,1,,
Mental therapies,other,3,2,,
Herbal medicine,Curcumin,6,9,,
Herbal medicine,Boswellia serra extract,0,4,,
Herbal medicine,Aloe vera,0,2,,
Herbal medicine,Plantago ovata,0,2,,
Herbal medicine,Cannabis (THC) for medical reasons,1,1,,
Herbal medicine,Pure peppermintoil,0,1,,
Herbal medicine,Peppermintoil mixture,0,1,,
Herbal medicine,Artemisia absinthum,0,1,,
Herbal medicine,other,5,10
