Overview of micronutrient, vitamin, supplement and probiotic use in Swiss pediatric IBD patients

Product category,Product,Currently,N (%),Previously,N (%),Self-medication,N (%),With prescription,N (%),Not specified,N (%)
Vitamins and supplements,Multivitamins,11,17,16,5,3
Vitamins and supplements,Vitamin B12,4,5,3,4,1
Vitamins and supplements,Vitamin C,5,5,4,4,2
Vitamins and supplements,Vitamin D,40,46,9,60,2
Vitamins and supplements,Vitamin E,1,1,1,1,0
Vitamins and supplements,Folic acid,9,4,2,9,0
Vitamins and supplements,Omega 3, fishoil,6,11,9,6,0
Vitamins and supplements,Others,4,4,3,3,0
Micronutrients,Iron (oral),6,45,2,43,3
Micronutrients,Calcium,7,21,2,21,0
Micronutrients,Potassium,0,2,1,0,0
Micronutrients,Magnesium,2,14,6,7,0
Micronutrients,Other,3,4,2,4,0
Products to help digestion,Lactase,0,3,2,1,0
Products to help digestion,Pancreatic enzymes,0,1,0,1,0
Products to help digestion,Other,6,2,2,6,3
Probiotics,Enterococcus SF 68,0,16,6,10,0
Probiotics,Saccharomyces boulardii,4,8,2,9,0
Probiotics,E.coli Nissle,3,7,0,9,0
Probiotics,Other,4,9,7,5,0
